systems_impacted,num_files_changed,deployment_hour,deployment_day,engineer_experience,historical_failures,dependency_count,rollback_required,test_coverage,change_type,change_failed
7,41,0,Thursday,4,3,3,0,83,Application,0
4,50,1,Thursday,12,5,10,1,88,Infrastructure,1
13,87,2,Friday,9,0,10,0,55,Infrastructure,1
11,71,8,Monday,9,5,2,1,89,Database,0
8,59,4,Wednesday,3,3,7,0,96,Application,0
13,39,9,Sunday,12,3,9,1,61,Infrastructure,1
5,3,9,Wednesday,13,2,11,1,77,Application,1
7,76,11,Saturday,1,4,11,0,49,Network,1
10,7,17,Friday,1,0,4,0,59,Database,0
3,49,20,Tuesday,4,0,3,0,92,Infrastructure,0
7,26,20,Saturday,4,4,10,1,80,Network,1
11,33,0,Wednesday,11,2,3,1,41,Network,0
11,48,2,Monday,12,3,4,0,42,Database,0
8,79,4,Tuesday,10,4,11,1,81,Network,1
5,2,16,Thursday,6,0,3,1,47,Network,0
4,71,7,Monday,5,0,2,1,48,Infrastructure,0
8,32,16,Tuesday,6,3,3,1,67,Network,0
8,4,8,Wednesday,10,3,9,1,60,Database,1
3,20,5,Saturday,7,1,4,0,90,Network,0
6,36,16,Thursday,7,5,11,0,72,Application,1
5,32,7,Thursday,10,4,1,1,99,Network,0
2,28,20,Sunday,14,3,6,0,73,Network,0
8,77,6,Monday,10,1,4,1,91,Network,0
12,1,6,Saturday,9,2,8,1,43,Network,1
14,60,14,Thursday,6,0,5,0,87,Infrastructure,0
6,56,6,Tuesday,8,4,10,1,92,Infrastructure,1
2,35,21,Sunday,2,5,0,0,64,Application,0
12,30,7,Sunday,8,2,8,0,71,Infrastructure,1
5,54,8,Friday,9,4,4,0,51,Database,0
1,36,14,Wednesday,4,4,8,0,41,Infrastructure,0
12,55,1,Monday,5,3,0,1,86,Infrastructure,0
10,89,6,Saturday,5,1,1,1,89,Infrastructure,0
6,80,14,Friday,2,4,2,1,87,Database,0
13,58,17,Friday,5,5,11,1,92,Application,1
12,83,21,Monday,9,2,4,1,51,Network,0
9,65,17,Tuesday,4,5,5,0,89,Database,0
1,69,9,Saturday,10,4,4,1,85,Database,0
11,51,21,Wednesday,3,5,0,0,65,Infrastructure,0
11,22,17,Monday,14,5,3,1,60,Infrastructure,1
10,88,0,Saturday,7,1,5,1,83,Application,0
12,53,6,Friday,8,0,3,0,76,Infrastructure,0
12,36,2,Friday,13,4,3,1,94,Database,1
14,68,13,Monday,13,2,4,1,75,Infrastructure,1
14,36,11,Saturday,10,0,7,0,57,Infrastructure,0
14,52,13,Friday,6,5,4,0,63,Application,1
3,53,3,Monday,6,0,6,1,69,Database,0
12,82,12,Sunday,13,3,7,1,56,Database,1
7,50,15,Monday,5,3,5,0,55,Network,0
4,80,15,Wednesday,11,4,5,1,81,Network,0
9,41,21,Monday,6,2,1,0,56,Application,0
3,18,4,Sunday,9,3,9,0,83,Database,0
5,22,19,Saturday,2,5,4,1,51,Database,0
3,66,5,Saturday,10,1,0,0,66,Infrastructure,0
7,21,5,Friday,11,1,8,1,99,Application,0
5,44,17,Thursday,3,5,6,1,94,Application,1
9,47,5,Wednesday,1,0,1,0,43,Network,0
7,39,6,Saturday,4,5,5,1,74,Network,0
2,29,23,Friday,2,0,9,1,40,Infrastructure,1
4,54,23,Friday,6,0,8,1,51,Network,1
9,90,15,Wednesday,13,1,11,0,68,Application,0
12,85,8,Wednesday,1,3,4,0,47,Application,1
14,17,12,Friday,8,5,2,1,47,Network,1
2,80,11,Sunday,10,3,10,1,51,Infrastructure,1
10,60,18,Thursday,6,4,9,0,75,Infrastructure,1
9,31,22,Sunday,9,2,10,0,87,Network,1
10,73,22,Tuesday,12,1,3,1,73,Database,0
5,95,0,Sunday,6,0,2,1,75,Database,0
2,78,7,Friday,10,2,0,1,94,Network,0
4,49,3,Wednesday,7,0,9,0,43,Infrastructure,0
12,2,20,Monday,5,2,10,0,100,Network,1
12,48,21,Monday,14,2,6,0,50,Network,1
7,14,18,Wednesday,8,3,7,1,98,Application,0
12,59,20,Sunday,8,4,1,0,42,Infrastructure,0
13,97,4,Wednesday,10,4,7,1,49,Infrastructure,1
8,99,16,Tuesday,9,0,11,0,51,Infrastructure,0
3,58,2,Saturday,12,1,8,0,88,Network,0
14,58,18,Wednesday,6,4,6,1,48,Database,1
1,51,0,Monday,1,1,10,0,60,Network,0
4,84,22,Thursday,9,0,0,1,73,Infrastructure,0
2,2,0,Wednesday,3,1,3,0,61,Application,0
8,41,22,Tuesday,9,2,6,0,57,Infrastructure,0
4,83,19,Thursday,7,2,5,0,83,Infrastructure,0
2,82,8,Tuesday,14,0,10,1,45,Infrastructure,0
14,16,22,Thursday,12,1,7,0,64,Network,0
6,4,4,Wednesday,13,1,5,0,89,Database,0
6,12,6,Monday,3,0,9,1,84,Application,0
10,29,5,Thursday,9,4,5,0,54,Application,1
4,7,16,Friday,14,3,9,0,40,Database,1
6,14,21,Saturday,7,4,5,1,94,Database,0
13,12,16,Tuesday,7,5,6,0,79,Database,1
2,99,12,Thursday,7,3,4,0,57,Application,0
10,5,11,Tuesday,2,1,11,1,91,Application,1
12,81,3,Monday,11,3,10,0,95,Infrastructure,1
2,32,7,Tuesday,4,3,8,0,83,Network,0
10,74,4,Tuesday,10,1,6,1,70,Network,0
14,43,4,Friday,8,2,0,0,59,Network,0
4,81,12,Tuesday,12,3,10,0,83,Application,0
14,69,10,Thursday,2,0,11,0,64,Database,1
8,45,7,Tuesday,13,4,11,1,72,Application,1
14,9,7,Wednesday,4,1,8,1,49,Application,1
7,49,0,Tuesday,10,1,10,1,68,Application,0
12,33,12,Wednesday,8,3,5,1,94,Application,1
9,18,4,Saturday,12,2,10,0,58,Network,1
14,9,20,Tuesday,3,2,7,0,98,Infrastructure,0
8,62,7,Sunday,12,4,8,1,67,Database,1
5,57,16,Saturday,6,4,10,1,97,Application,1
13,29,22,Sunday,12,2,10,1,66,Database,1
2,78,22,Tuesday,2,5,1,0,98,Database,0
5,25,12,Thursday,8,2,1,0,58,Application,0
8,15,8,Sunday,8,2,4,0,82,Infrastructure,0
10,6,1,Wednesday,12,3,4,0,94,Infrastructure,0
9,42,18,Saturday,13,0,11,1,70,Network,1
12,29,19,Saturday,1,4,9,0,93,Network,1
12,79,16,Wednesday,3,5,9,0,74,Infrastructure,1
12,93,6,Friday,14,5,1,1,53,Application,1
13,4,2,Tuesday,2,1,9,1,89,Network,1
9,82,18,Tuesday,7,2,3,0,98,Application,0
13,57,18,Thursday,7,2,8,0,98,Application,1
13,49,23,Friday,4,0,3,0,45,Application,0
1,44,8,Friday,12,2,0,1,97,Application,0
9,80,9,Sunday,12,4,4,1,94,Database,0
7,75,13,Thursday,8,5,1,1,48,Database,0
9,14,17,Saturday,3,2,5,1,96,Application,0
8,3,14,Wednesday,14,0,0,1,80,Infrastructure,0
1,62,0,Saturday,9,3,6,0,66,Database,0
12,64,5,Monday,5,4,6,0,97,Application,1
8,45,14,Thursday,14,3,3,0,56,Application,0
8,82,5,Wednesday,13,1,8,0,75,Network,0
11,58,17,Saturday,14,0,2,0,43,Network,0
